episode,cumulative_reward,episode_length,time,epsilon
0,9.0,9,0.0,0.8923843219569512
1,34.0,34,0.007812,0.8642246815569761
2,10.0,10,0.007812,0.8561230106099534
3,30.0,30,0.007812,0.832298475137106
4,21.0,21,0.0,0.8160415028080241
5,16.0,16,0.007812,0.8038823712095838
6,9.0,9,0.007812,0.7971278707137457
7,16.0,16,0.070312,0.7852689491441301
8,10.0,10,0.039062,0.7779529008610715
9,33.0,33,0.125,0.7543225011477785
10,24.0,24,0.09375,0.7376199929315248
11,15.0,15,0.054688,0.7273826649466187
12,10.0,10,0.03125,0.7206425948149683
13,11.0,11,0.039062,0.7133059517863292
14,35.0,35,0.140625,0.6904918196807597
15,12.0,12,0.039062,0.682851849346023
16,10.0,10,0.03125,0.6765548682328837
17,13.0,13,0.046875,0.6684623701524062
18,23.0,23,0.078125,0.6544000719754482
19,18.0,18,0.054688,0.6436181986488375
20,14.0,14,0.054688,0.6353654479173624
21,13.0,13,0.054688,0.6278049468282729
22,12.0,12,0.039062,0.6209127235127083
23,12.0,12,0.039062,0.6141027126158716
24,11.0,11,0.039062,0.6079315861977955
25,13.0,13,0.039062,0.600725417162548
26,12.0,12,0.046875,0.5941562062524001
27,10.0,10,0.039062,0.5887417615337667
28,15.0,15,0.054688,0.5807209416496997
29,15.0,15,0.046875,0.5728195362164994
30,13.0,13,0.046875,0.5660668696779713
31,16.0,16,0.054688,0.5578755054255019
32,27.0,27,0.101562,0.5443463325007666
33,12.0,12,0.039062,0.5384496275010459
34,15.0,15,0.046875,0.5311775599459487
35,12.0,12,0.039062,0.5254379358465178
36,13.0,13,0.039062,0.519297243660891
37,18.0,18,0.054688,0.5109254653168858
38,10.0,10,0.03125,0.5063391803077406
39,10.0,10,0.03125,0.5017985295969102
40,25.0,25,0.085938,0.4906435841556925
41,11.0,11,0.046875,0.4858230661856069
42,15.0,15,0.054688,0.47933450605385713
43,10.0,10,0.023438,0.47506255634140254
44,16.0,16,0.046875,0.46831567442811306
45,10.0,10,0.03125,0.46415336392222445
46,10.0,10,0.023438,0.460032469097857
47,10.0,10,0.03125,0.45595257786209425
48,10.0,10,0.03125,0.4519132822224126
49,10.0,10,0.03125,0.44791417824588203
50,12.0,12,0.039062,0.44316774367145617
51,9.0,9,0.03125,0.43964510960944
52,9.0,9,0.03125,0.43615403701434113
53,8.0,8,0.03125,0.43307712876139803
54,12.0,12,0.054688,0.4285076747735049
55,10.0,10,0.039062,0.4247414604822927
56,16.0,16,0.054688,0.41879330921804225
57,18.0,18,0.0625,0.4122144173084264
58,12.0,12,0.03125,0.407893819733223
59,13.0,13,0.039062,0.4032713114804751
60,13.0,13,0.039062,0.3987085069201874
61,11.0,11,0.03125,0.3948937330658231
62,11.0,11,0.03125,0.3911206917739606
63,12.0,12,0.023438,0.3870517062137439
64,11.0,11,0.023438,0.3833644545094792
65,14.0,14,0.03125,0.378729869936326
66,8.0,8,0.023438,0.3761105223370714
67,10.0,10,0.015625,0.3728656684236719
68,9.0,9,0.015625,0.369972914327356
69,12.0,12,0.023438,0.3661561855288545
70,14.0,14,0.023438,0.3617608381535171
71,12.0,12,0.015625,0.3580420653576168
72,10.0,10,0.015625,0.35497699559505885
73,10.0,10,0.023438,0.35194242378620877
74,11.0,11,0.023438,0.3486392578440981
75,12.0,12,0.023438,0.3450770030258338
76,13.0,13,0.023438,0.34126582829613394
77,9.0,9,0.023438,0.33865619679819825
78,10.0,10,0.015625,0.3357840196507233
79,9.0,9,0.023438,0.33322350308189
80,12.0,12,0.023438,0.3298451318128794
81,11.0,11,0.023438,0.32678370408477625
82,15.0,15,0.03125,0.3226629315814741
83,11.0,11,0.015625,0.31968007512168206
84,15.0,15,0.023438,0.3156650618754199
85,10.0,10,0.015625,0.31302165034272184
86,10.0,10,0.023438,0.3104045411942436
87,12.0,12,0.023438,0.3072983610548214
88,9.0,9,0.015625,0.30499306519741237
89,12.0,12,0.023438,0.3019514346975212
90,11.0,11,0.023438,0.29919515623978443
91,10.0,10,0.023438,0.2967156230062965
92,10.0,10,0.023438,0.2942607615407063
93,12.0,12,0.023438,0.29134714904048525
94,10.0,10,0.015625,0.2889457047833681
95,12.0,12,0.023438,0.2860954918063037
96,9.0,9,0.015625,0.28398016562628947
97,11.0,11,0.023438,0.2814204878422448
98,12.0,12,0.023438,0.2786600378136304
99,12.0,12,0.023438,0.2759325152255876
0,31.0,31,0.007812,0.874054237114622
1,25.0,25,0.007812,0.8537082655068369
2,24.0,24,0.0,0.8346488944286404
3,38.0,38,0.007812,0.8053916447224247
4,13.0,13,0.015625,0.795635108232387
5,13.0,13,0.046875,0.7860045858503243
6,16.0,16,0.070312,0.7743222206212796
7,16.0,16,0.070312,0.762825285836513
8,22.0,22,0.101562,0.7473143751671564
9,20.0,20,0.085938,0.7335066254165757
10,13.0,13,0.0625,0.7246785461299563
11,27.0,27,0.125,0.7067059472908889
12,12.0,12,0.046875,0.6988725701863252
13,22.0,22,0.085938,0.6847532555773536
14,25.0,25,0.09375,0.6690811418568464
15,12.0,12,0.039062,0.6616965642350141
16,21.0,21,0.078125,0.6489848762609065
17,18.0,18,0.070312,0.6382996044354209
18,14.0,14,0.054688,0.6301207952245815
19,24.0,24,0.085938,0.6163636423111535
20,15.0,15,0.054688,0.6079315861977955
21,15.0,15,0.054688,0.5996250670451237
22,14.0,14,0.054688,0.5919839288785074
23,15.0,15,0.054688,0.5839148394111947
24,21.0,21,0.078125,0.5728195362164994
25,17.0,17,0.0625,0.5640067252350038
26,13.0,13,0.054688,0.5573678837732043
