episode,cumulative_reward,episode_length,time,epsilon
0,-119.845314,63,0.125,0.8481019526357633
1,-387.3232,89,0.25,0.780140038629955
2,-111.865585,89,0.125,0.7179653824300938
3,-463.6665,84,0.125,0.6641482505957614
4,-273.01276,88,0.25,0.6124129404036711
5,-107.98297,134,0.25,0.5418807698813978
6,-505.82834,120,0.25,0.4862591072359809
7,-192.69861,326,0.625,0.3648940866672602
8,-246.26729,190,0.375,0.3104045411942436
9,-139.27487,1000,2.0,0.1457974770930442
10,-498.6376,164,0.375,0.13130734439897312
11,-212.7731,389,0.75,0.10510477370301258
12,-179.12233,754,1.5,0.07592574134553487
13,-23.850327,319,0.625,0.06884478748170969
14,-127.3192,370,0.75,0.06301674166718195
15,-92.46592,327,0.625,0.05938616080338196
16,-128.0901,344,0.75,0.05665412091684191
17,-99.18997,316,0.625,0.05485124973698165
18,-148.40556,323,0.625,0.05351217797058394
19,-128.11147,342,0.75,0.05249486931602342
0,-228.06583,134,0.0,0.7934015549128339
1,-68.13053,95,0.25,0.7260292534793299
2,-95.57054,79,0.125,0.6746780203077084
3,-47.67564,99,0.25,0.6157975617562931
4,-9.330688,133,0.25,0.5453360145178912
5,-106.457855,111,0.25,0.4932953931321339
6,-80.59199,317,0.625,0.3728656684236719
7,-40.23132,162,0.25,0.324578267958915
8,-73.19906,233,0.5,0.2675081561757712
9,-93.972336,258,0.5,0.2180457644057699
10,-10.492346,1000,2.0,0.11182058190082247
11,-93.694244,1000,2.0,0.07274252112256796
12,-200.6627,1000,2.0,0.05836650596140002
13,-46.82668,1000,2.0,0.05307786553763738
14,-167.2108,583,1.25,0.05171812975843451
15,-261.25217,603,1.125,0.05094010505388025
16,-91.387955,387,0.875,0.050638416970385604
17,189.60158,555,1.125,0.050366497473775446
18,38.286373,1000,2.0,0.05013482688584326
19,-69.85422,1000,2.0,0.050049600039418905
0,-181.44656,125,0.0,0.8001223671969062
1,-98.449875,111,0.125,0.7213135728428823
2,-529.79846,132,0.25,0.6382996044354209
3,-176.36882,89,0.125,0.5882032890533458
4,-139.83498,90,0.125,0.5418807698813978
5,-152.49326,139,0.25,0.4780484326104157
6,-97.45402,157,0.25,0.41585473272267065
7,-101.03289,329,0.625,0.3132848035477377
8,16.421547,1000,2.0,0.1468570663980747
9,12.417763,362,0.75,0.11743986753385911
10,-235.72401,827,1.625,0.0794954598904902
11,-260.86703,936,1.875,0.06156792693752882
12,-107.984344,1000,2.0,0.05425560249729018
13,-56.053875,1000,2.125,0.051565548668550905
14,-88.73178,1000,2.0,0.050575933169313206
15,-41.33964,1000,2.0,0.05021187397247904
16,-89.77128,1000,2.0,0.050077944078594366
17,-88.46155,476,1.0,0.0500484238096881
18,-92.909485,1000,2.0,0.050017814124047454
19,-83.80426,1000,2.125,0.05000655344999954
0,-88.10286,131,0.0,0.795635108232387
1,-59.48546,112,0.25,0.716630786705823
2,-126.14227,151,0.25,0.6232009478043776
3,-116.0009,139,0.25,0.5488155307182047
4,-38.03762,134,0.25,0.4862591072359809
5,-53.06566,96,0.25,0.44632570060614757
6,2.4124215,1000,2.0,0.19580007726086995
7,-63.73575,1000,1.875,0.10363685094548195
8,-76.29772,1000,1.875,0.06973189475201985
9,-56.832836,1000,2.0,0.057258958414626776
10,-40.222717,1000,2.0,0.05267042156505964
11,-9.873049,1000,2.0,0.05098239319304631
12,-104.83478,1000,1.875,0.05036140225886851
13,-14.258704,1000,2.0,0.050132952461030646
14,-56.61299,1000,2.0,0.050048910477066326
15,-0.4170984,1000,2.0,0.05001799315897059
16,-46.231865,1000,2.0,0.05000661931326701
17,131.04747,977,2.0,0.05000249176583164
18,-59.58721,1000,2.0,0.05000091666942168
19,-66.41494,1000,1.875,0.05000033722383459
0,-86.9259,82,0.0,0.8330811648918964
1,-121.433655,99,0.125,0.7592700548914212
2,-66.10019,125,0.25,0.675928626537685
3,-87.34488,215,0.375,0.5548373758959207
4,-157.51468,213,0.5,0.4579874236265556
5,-358.328,217,0.375,0.37840130437655006
6,-51.841747,234,0.5,0.30988425257390495
7,-30.941938,1000,2.0,0.14560607360614614
8,-128.08607,1000,2.0,0.08517150893082483
9,-125.056564,1000,2.0,0.06293887505062823
10,-93.53846,1000,2.0,0.054759946123012236
11,-4.562824,1000,2.0,0.05175108631973992
12,-85.83198,1000,2.0,0.05064418865674888
13,-104.15573,1000,2.0,0.05023698376305376
14,-95.23545,1000,2.125,0.050087181454318924
15,-23.42491,1000,2.0,0.05003207226469536
16,-59.084724,1000,2.0,0.05001179872681323
17,-84.78813,1000,2.0,0.050004340509026586
18,-75.89863,1000,2.125,0.0500015967840351
19,-80.13425,1000,2.0,0.05000058742401851
0,-149.13408,98,0.0,0.8206515681908328
1,-77.73747,101,0.125,0.7466174093329868
2,-63.793953,81,0.125,0.6924161802373666
3,-109.53691,124,0.25,0.6174975030785896
4,-119.856255,150,0.375,0.5384496275010459
5,-9.5813675,107,0.125,0.4888845302722412
6,-7.53096,219,0.5,0.40256547492934414
7,-9.8303995,1000,1.875,0.17970158989335133
8,-64.3152,1000,2.0,0.09771454840901367
9,-56.653667,1000,2.0,0.06755320140445568
10,-112.794785,1000,2.0,0.056457461923440935
11,-89.26312,1000,2.0,0.05237556748378132
12,-46.02883,1000,2.0,0.05087392243839852
13,-60.311527,1000,2.0,0.050321498098265235
14,-164.43532,414,0.75,0.0502125105487835
15,-32.5963,1000,2.0,0.050078178261929514
16,-63.062447,319,0.625,0.05005682586708383
17,-26.467028,1000,2.0,0.05002090506822689
18,-49.992493,1000,2.0,0.050007690544816956
19,-8.218215,1000,2.0,0.050002829193329566
0,-313.67212,89,0.125,0.8276187375382842
1,-49.186295,72,0.0,0.7735982604410785
2,-63.69931,102,0.25,0.7034306127144863
3,-147.85547,175,0.25,0.5985269154287004
4,-15.454414,135,0.25,0.5292566939992124
5,-111.40761,192,0.375,0.44553384132816637
6,-148.82477,1000,2.0,0.19550876851219984
7,-19.497538,1000,2.0,0.10352968444581281
8,-45.11378,1000,1.875,0.06969247040000927
9,-71.703156,1000,2.0,0.057244455006040584
10,-37.631107,1000,2.0,0.05266508605921387
11,-8.469682,1000,2.0,0.0509804303701374
12,-228.81364,950,1.875,0.05037917264477282
13,-58.11724,1000,1.875,0.05013948982066652
14,-27.777002,1000,2.0,0.05005131543727591
15,-40.459267,1000,2.0,0.05001887789438853
16,-61.0081,1000,2.0,0.050006944789238145
17,-34.27008,1000,2.0,0.05000255484518398
18,-46.81853,1000,2.0,0.050000939875018566
19,-43.957874,1000,2.0,0.050000345760696605
0,-81.54759,76,0.0,0.837793775575475
1,-12.307434,138,0.25,0.7362461272692793
2,-31.644089,148,0.25,0.6418400126655054
3,-19.345734,123,0.25,0.5733426172496424
4,-146.63583,102,0.125,0.5225938490241612
5,-8.308507,1000,2.0,0.22385756108006938
6,-1.3090223,1000,2.0,0.1139586224135658
7,2.6460183,1000,2.0,0.07352906227159788
8,-35.213154,1000,2.0,0.0586558582797635
9,-27.919575,1000,2.0,0.0531843123068186
10,-37.817158,1000,2.0,0.051171443031947775
11,-29.237179,1000,2.0,0.05043094980795713
12,-32.738777,1000,2.0,0.05015853757452421
13,-6.479094,1000,2.0,0.05005832271432065
14,-54.3321,1000,2.0,0.05002145572755188
15,-2.9512744,1000,2.0,0.050007893121061714
16,-42.79767,1000,2.0,0.05000290371696529
17,-33.72491,1000,2.0,0.05000106821777451
18,-50.038418,1000,2.125,0.05000039297535794
19,-34.791225,1000,2.0,0.050000144567555076
0,-114.69435,107,0.0,0.8137468220417597
1,-46.53483,98,0.125,0.7424502189497024
2,-71.95101,87,0.125,0.6847532555773536
3,-59.34397,112,0.25,0.6174975030785896
4,-16.265541,152,0.25,0.537473704494358
5,-40.232018,1000,2.0,0.22933155399515726
6,-18.351858,1000,2.0,0.11597239186814479
7,-54.019154,1000,2.0,0.0742698866531965
8,-4.1099234,1000,1.875,0.05892839233927218
9,-54.477413,1000,2.0,0.05328457198433084
10,-24.867834,1000,2.0,0.05120832650608301
11,-42.276073,1000,2.0,0.050444518479810456
12,-3.4725175,1000,2.0,0.050163529209943054
13,-22.52898,1000,2.0,0.050060159034369056
14,-4.8986516,1000,2.0,0.0500221312719451
15,-8.106607,1000,2.0,0.05000814163995558
16,-46.080845,1000,2.0,0.05000299514195708
17,-1.4246358,1000,2.125,0.0500011018511494
18,-22.157278,1000,2.0,0.050000405348385096
19,-17.295908,1000,2.125,0.05000014911933739
