episode,cumulative_reward,episode_length,time,epsilon
0,-256.57092,110,0.125,0.811459015002049
1,-123.19524,69,0.375,0.7606900144874802
2,-268.88364,84,0.25,0.7034306127144863
3,-122.687996,72,0.25,0.6580373733996759
4,-388.11325,159,0.5,0.5686536656270779
5,-171.85669,121,0.375,0.5095447610129191
6,-234.0835,185,0.5625,0.4319296194996383
7,-204.68768,146,0.5,0.38004742276499204
8,-204.20238,189,0.625,0.3232088031342326
9,-234.00095,356,1.125,0.24137528620277315
10,-74.53164,372,1.1875,0.181925365458169
11,-53.745712,134,0.375,0.16538061389887845
12,138.6792,670,2.125,0.1090412498423333
13,-92.866,341,1.0625,0.09198180665203136
14,-85.859406,246,0.8125,0.08282650766374756
15,-203.26865,340,1.0625,0.0733649339549949
16,-71.68313,1000,3.1875,0.058595478846371174
17,-99.8545,1000,3.1875,0.053162099954603984
18,-71.255264,1000,3.1875,0.05116327156422796
19,-63.74769,1000,3.25,0.050427943692978816
0,-141.50877,117,0.0,0.8061474141888997
1,-310.7963,141,0.375,0.7067059472908889
2,-22.190758,105,0.375,0.6412484684742309
3,-75.68776,111,0.3125,0.5791311646825338
4,-54.841873,78,0.25,0.5394275043068948
5,-47.09215,138,0.4375,0.4763396587061472
6,240.47435,811,2.5625,0.23947107028875508
7,-116.80701,1000,3.1875,0.11970251145598229
8,-89.05814,1000,3.1875,0.07564212096267282
9,-118.56727,1000,3.1875,0.0594332091301986
10,-66.6732,1000,3.1875,0.05347028370327081
11,-22.854012,1000,3.1875,0.05127664602946563
12,-53.525303,1000,3.1875,0.05046965182789356
13,-81.5563,1000,3.1875,0.05017277525199063
14,-1.8157654,92,0.3125,0.050157589197054604
15,-66.73376,155,0.5,0.05013496178016502
16,-25.223236,109,0.3125,0.050121024333473686
17,-208.20859,806,2.625,0.05005405443684291
18,18.863007,111,0.3125,0.05004837541008225
19,45.535385,1000,3.25,0.0500177963188275
0,16.086014,85,0.0,0.8307354417412388
1,-88.91861,117,0.25,0.7445306887509011
2,-14.757889,196,0.625,0.6209127235127083
3,-303.3003,186,0.5625,0.5240137593718226
4,-310.304,124,0.375,0.4687341993301151
5,-88.29292,412,1.25,0.3273378254295835
6,-111.20523,1000,3.0625,0.1520268842347382
7,-119.22777,698,2.125,0.10076648280289344
8,-51.9888,1000,3.0625,0.06867594532376808
9,-29.479174,1000,3.0625,0.05687049632905622
10,-37.210625,1000,3.0625,0.05252751435010365
11,-24.386747,1000,3.0625,0.050929820566668935
12,-62.360416,1000,3.0625,0.05034206187045588
13,-74.18828,1000,3.125,0.05012583752974937
14,-120.99494,709,2.1875,0.05006192918955939
15,130.70964,1000,3.125,0.05002278247564731
16,-145.90182,639,2.0,0.0500120250458451
17,42.302135,958,2.9375,0.05000461352233138
18,-78.70213,469,1.5,0.05000288634682602
19,-72.33494,1000,3.125,0.050001061827657386
0,-95.466866,90,0.0,0.826841507480544
1,-83.1518,84,0.1875,0.7642523630096667
2,-27.031738,103,0.3125,0.6943463225439321
3,-167.94452,131,0.375,0.6152320469990417
4,-238.7256,129,0.375,0.546824253804195
5,-220.40726,138,0.4375,0.48278295751641676
6,-133.12105,105,0.3125,0.43964510960944
