episode,cumulative_reward,episode_length,time,epsilon
0,18.0,18,0.007812,0.8848368775045556
1,42.0,42,0.0,0.8504998535466114
2,15.0,15,0.0,0.8385819633792699
3,14.0,14,0.007812,0.8276187375382842
4,28.0,28,0.0,0.8061474141888997
5,15.0,15,0.007812,0.7948898458174672
6,22.0,22,0.039062,0.7786812178597389
7,11.0,11,0.023438,0.7707096484747286
8,16.0,16,0.03125,0.7592700548914212
9,24.0,24,0.039062,0.7424502189497024
10,14.0,14,0.023438,0.7328234604305826
11,14.0,14,0.023438,0.723330537495667
12,30.0,30,0.054688,0.7034306127144863
13,25.0,25,0.046875,0.6872973534031851
14,22.0,22,0.039062,0.6734299127906459
15,15.0,15,0.03125,0.6641482505957614
16,41.0,41,0.070312,0.6394773810282924
17,36.0,36,0.0625,0.6186336338367947
18,22.0,22,0.039062,0.6062602996225298
19,12.0,12,0.015625,0.5996250670451237
20,10.0,10,0.023438,0.5941562062524001
21,15.0,15,0.023438,0.5860547757883461
22,12.0,12,0.023438,0.5796605605010092
23,14.0,14,0.03125,0.5722969780029362
24,12.0,12,0.023438,0.5660668696779713
0,28.0,28,0.0,0.8765301117810599
1,15.0,15,0.007812,0.8642246815569761
2,10.0,10,0.0,0.8561230106099534
3,40.0,40,0.0,0.8245144752517195
4,14.0,14,0.0,0.8137468220417597
5,15.0,15,0.0,0.8023761132272331
6,14.0,14,0.023438,0.7919162376154114
7,11.0,11,0.015625,0.7837998808038715
8,11.0,11,0.023438,0.7757723146732095
9,27.0,27,0.046875,0.7564386412743068
10,10.0,10,0.015625,0.7494094593476157
11,11.0,11,0.015625,0.7417581148404826
12,19.0,19,0.03125,0.7287387859454705
13,9.0,9,0.015625,0.7226575435112463
14,17.0,17,0.03125,0.7113190158251137
15,12.0,12,0.015625,0.7034306127144863
16,11.0,11,0.015625,0.6962822639717497
17,13.0,13,0.023438,0.6879349695115078
18,15.0,15,0.023438,0.6784373551561022
19,14.0,14,0.023438,0.6697005326424802
20,12.0,12,0.023438,0.6623085667495062
21,18.0,18,0.03125,0.6513856140405265
22,10.0,10,0.015625,0.6454017271999646
23,12.0,12,0.023438,0.6382996044354209
24,18.0,18,0.03125,0.6278049468282729
0,12.0,12,0.0,0.8898609559326409
1,15.0,15,0.0,0.8773570552956863
2,50.0,50,0.007812,0.837006375565521
3,17.0,17,0.0,0.823740347904652
4,17.0,17,0.0,0.8106979365896764
5,9.0,9,0.0,0.8038823712095838
6,19.0,19,0.023438,0.7896938241895138
7,17.0,17,0.03125,0.7772253118153657
8,11.0,11,0.023438,0.76926966963661
9,12.0,12,0.023438,0.7606900144874802
10,12.0,12,0.015625,0.7522126999285148
11,10.0,10,0.015625,0.7452255668207806
12,16.0,16,0.023438,0.7341904739092513
13,11.0,11,0.015625,0.7267056208601357
14,10.0,10,0.015625,0.7199722874297049
15,20.0,20,0.03125,0.7067059472908889
16,16.0,16,0.03125,0.6962822639717497
17,20.0,20,0.039062,0.6834850177267954
18,30.0,30,0.054688,0.664762706022866
19,39.0,39,0.070312,0.6412484684742309
20,10.0,10,0.015625,0.6353654479173624
21,16.0,16,0.023438,0.6260741295118755
22,10.0,10,0.023438,0.620342096150429
23,14.0,14,0.023438,0.6124129404036711
24,16.0,16,0.03125,0.6034859398038777
0,22.0,22,0.007812,0.8815041997935286
1,17.0,17,0.0,0.8674881027744118
2,18.0,18,0.0,0.8529049589615448
3,10.0,10,0.0,0.8449159211362601
4,17.0,17,0.0,0.831516567680856
5,13.0,13,0.007812,0.8214226052132818
6,12.0,12,0.0,0.8122208548735002
7,15.0,15,0.0,0.8008728647503383
8,16.0,16,0.023438,0.788954500088985
9,14.0,14,0.023438,0.7786812178597389
10,13.0,13,0.023438,0.76926966963661
11,15.0,15,0.03125,0.758561139353375
12,19.0,19,0.03125,0.7452255668207806
13,17.0,17,0.03125,0.7335066254165757
14,9.0,9,0.015625,0.7273826649466187
15,14.0,14,0.023438,0.7179653824300938
16,14.0,14,0.023438,0.7086790232669189
17,11.0,11,0.015625,0.7014732583758663
18,9.0,9,0.015625,0.6956363047412232
19,12.0,12,0.015625,0.6879349695115078
20,14.0,14,0.023438,0.6790661068347015
21,16.0,16,0.03125,0.6690811418568464
22,22.0,22,0.039062,0.655610081725813
23,14.0,14,0.023438,0.6471906143706554
24,16.0,16,0.03125,0.6377115988827622
0,21.0,21,0.007812,0.8823361198840407
1,14.0,14,0.0,0.8707646038189315
2,18.0,18,0.0,0.8561230106099534
3,20.0,20,0.0,0.8401607055219239
4,27.0,27,0.007812,0.8191118053305656
5,16.0,16,0.0,0.8069039398028518
6,14.0,14,0.007812,0.7963811162824771
7,10.0,10,0.015625,0.788954500088985
8,9.0,9,0.015625,0.7823337476641146
9,11.0,11,0.023438,0.7743222206212796
10,20.0,20,0.039062,0.7599796796995812
11,15.0,15,0.023438,0.7494094593476157
12,21.0,21,0.039062,0.7348750065924577
13,15.0,15,0.03125,0.7246785461299563
14,11.0,11,0.015625,0.7172977509190551
15,17.0,17,0.023438,0.7060495695871479
16,13.0,13,0.015625,0.697576121926362
17,31.0,31,0.054688,0.6778092319149103
18,21.0,21,0.039062,0.664762706022866
19,13.0,13,0.023438,0.6568225139173121
20,23.0,23,0.039062,0.6430248771603764
21,10.0,10,0.015625,0.6371241810417515
22,31.0,31,0.054688,0.6192025518822444
23,22.0,22,0.039062,0.6068168381450354
24,12.0,12,0.023438,0.6001749670163294
0,21.0,21,0.0,0.8823361198840407
1,25.0,25,0.007812,0.8617856678621075
2,11.0,11,0.0,0.8529049589615448
3,19.0,19,0.0,0.837793775575475
4,14.0,14,0.0,0.826841507480544
5,12.0,12,0.0,0.8175751189185453
6,16.0,16,0.007812,0.8053916447224247
7,12.0,12,0.0,0.7963811162824771
8,9.0,9,0.007812,0.7896938241895138
9,12.0,12,0.015625,0.7808705438603247
10,29.0,29,0.054688,0.7599796796995812
11,15.0,15,0.03125,0.7494094593476157
12,13.0,13,0.015625,0.7403759812051482
13,16.0,16,0.023438,0.7294178642139604
14,9.0,9,0.015625,0.723330537495667
15,24.0,24,0.046875,0.7073629817006317
16,12.0,12,0.015625,0.6995217673009692
17,20.0,20,0.03125,0.6866603745922689
18,16.0,16,0.03125,0.6765548682328837
19,14.0,14,0.023438,0.6678442169103875
20,16.0,16,0.03125,0.6580373733996759
21,19.0,19,0.03125,0.6465937222520849
22,13.0,13,0.023438,0.6388881982877329
23,13.0,13,0.023438,0.6312821978305024
24,12.0,12,0.015625,0.6243484968665322
0,15.0,15,0.0,0.8873451486626033
1,25.0,25,0.007812,0.8666710232794748
2,11.0,11,0.0,0.8577368699525629
3,25.0,25,0.0,0.837793775575475
4,24.0,24,0.0,0.8191118053305656
5,20.0,20,0.0,0.8038823712095838
6,19.0,19,0.023438,0.7896938241895138
7,11.0,11,0.023438,0.7816017799612992
8,15.0,15,0.023438,0.7707096484747286
9,27.0,27,0.046875,0.75151083821793
10,22.0,22,0.039062,0.7362461272692793
11,15.0,15,0.023438,0.7260292534793299
12,31.0,31,0.054688,0.7053938479330314
13,17.0,17,0.023438,0.6943463225439321
14,23.0,23,0.039062,0.6796954875794602
15,13.0,13,0.023438,0.6715624256835497
16,14.0,14,0.023438,0.662921181572616
17,13.0,13,0.023438,0.6550047743482182
18,11.0,11,0.023438,0.6483861907772779
19,12.0,12,0.023438,0.6412484684742309
20,9.0,9,0.015625,0.635951106145589
21,11.0,11,0.015625,0.629540964393092
22,12.0,12,0.015625,0.6226280333615375
23,14.0,14,0.03125,0.6146670974738843
24,9.0,9,0.015625,0.6096078941611032
0,27.0,27,0.0,0.8773570552956863
1,18.0,18,0.007812,0.862597859558135
2,12.0,12,0.0,0.8529049589615448
3,16.0,16,0.0,0.8401607055219239
4,21.0,21,0.0,0.823740347904652
5,11.0,11,0.0,0.8152758441983258
6,15.0,15,0.0,0.8038823712095838
7,17.0,17,0.023438,0.791174692212293
8,14.0,14,0.023438,0.7808705438603247
9,19.0,19,0.039062,0.7671150941069261
10,10.0,10,0.015625,0.7599796796995812
11,21.0,21,0.039062,0.7452255668207806
12,13.0,13,0.023438,0.7362461272692793
13,24.0,24,0.046875,0.7199722874297049
14,14.0,14,0.023438,0.7106580273586042
15,31.0,31,0.054688,0.6904918196807597
16,14.0,14,0.03125,0.6815874105076489
17,15.0,15,0.023438,0.6721842989940657
18,9.0,9,0.015625,0.66660976334162
19,16.0,16,0.023438,0.6568225139173121
20,13.0,13,0.023438,0.6489848762609065
21,26.0,26,0.039062,0.6336119830859559
22,16.0,16,0.023438,0.6243484968665322
23,18.0,18,0.03125,0.6141027126158716
24,12.0,12,0.023438,0.6073739334844256
0,15.0,15,0.0,0.8873451486626033
1,20.0,20,0.0,0.8707646038189315
2,12.0,12,0.0,0.8609742879518154
3,18.0,18,0.0,0.846507343870793
4,14.0,14,0.0,0.8354339357783238
5,13.0,13,0.007812,0.8252893771133268
6,23.0,23,0.0,0.8076612223208066
7,9.0,9,0.0,0.8008728647503383
8,14.0,14,0.015625,0.7904338879839287
9,26.0,26,0.046875,0.7714307185981758
10,19.0,19,0.03125,0.7578529323765273
11,18.0,18,0.03125,0.7452255668207806
12,34.0,34,0.0625,0.7219852221844253
13,13.0,13,0.023438,0.7133059517863292
14,10.0,10,0.015625,0.7067059472908889
15,8.0,8,0.015625,0.7014732583758663
16,9.0,9,0.015625,0.6956363047412232
17,43.0,43,0.078125,0.6684623701524062
18,22.0,22,0.039062,0.6550047743482182
19,21.0,21,0.039062,0.6424321486968418
20,16.0,16,0.03125,0.6330286628116172
21,10.0,10,0.015625,0.6272274306876413
22,11.0,11,0.023438,0.6209127235127083
23,21.0,21,0.039062,0.6090485659776445
24,22.0,22,0.039062,0.5968838005870128
