episode,cumulative_reward,episode_length,time,epsilon
0,13.0,13,0.054688,0.8890215147672444
1,16.0,16,0.0,0.8757039947966141
2,12.0,12,0.0,0.865854760455629
3,19.0,19,0.007812,0.8504998535466114
4,21.0,21,0.0,0.8338646377279169
5,15.0,15,0.0,0.8221944136584003
6,12.0,12,0.007812,0.8129834569658697
7,19.0,19,0.0,0.7986236217075834
8,23.0,23,0.203125,0.7816017799612992
9,36.0,36,0.0625,0.7557325557346428
10,27.0,27,0.054688,0.7369327166340152
11,18.0,18,0.03125,0.7246785461299563
12,12.0,12,0.023438,0.716630786705823
13,15.0,15,0.023438,0.7067059472908889
14,13.0,13,0.023438,0.6982240219443056
15,11.0,11,0.015625,0.6911326318531257
16,12.0,12,0.023438,0.6834850177267954
17,15.0,15,0.023438,0.6740536545223239
18,9.0,9,0.015625,0.6684623701524062
19,15.0,15,0.023438,0.6592546650323442
20,14.0,14,0.03125,0.650784529019087
21,12.0,12,0.015625,0.6436181986488375
22,12.0,12,0.015625,0.6365373503249707
23,24.0,24,0.039062,0.6226280333615375
24,11.0,11,0.023438,0.6163636423111535
25,17.0,17,0.03125,0.6068168381450354
26,12.0,12,0.023438,0.6001749670163294
27,15.0,15,0.023438,0.5919839288785074
28,18.0,18,0.03125,0.5823154951089226
29,10.0,10,0.015625,0.577018867434695
30,14.0,14,0.03125,0.5696920109575474
31,15.0,15,0.023438,0.5619548049106056
32,16.0,16,0.023438,0.5538287101461007
33,15.0,15,0.03125,0.5463276778797345
34,16.0,16,0.03125,0.5384496275010459
35,16.0,16,0.03125,0.5306966228946065
36,23.0,23,0.039062,0.5197667756314095
37,13.0,13,0.023438,0.5136993313853994
38,11.0,11,0.015625,0.5086265899679951
39,9.0,9,0.015625,0.5045174694371979
40,13.0,13,0.015625,0.4986469831710265
41,13.0,13,0.023438,0.49285231931283424
42,10.0,10,0.015625,0.488445865111105
43,12.0,12,0.023438,0.4832159569375604
44,10.0,10,0.023438,0.47890538614351846
45,12.0,12,0.015625,0.473789279542534
46,11.0,11,0.015625,0.46915314296635136
47,9.0,9,0.015625,0.46539768956921757
48,9.0,9,0.015625,0.4616758836120581
49,19.0,19,0.03125,0.4539278809332228
0,18.0,18,0.0,0.8848368775045556
1,11.0,11,0.0,0.8757039947966141
2,20.0,20,0.007812,0.8593539602437291
3,10.0,10,0.0,0.8513007537835348
4,35.0,35,0.0,0.823740347904652
5,15.0,15,0.0,0.8122208548735002
6,11.0,11,0.0,0.8038823712095838
7,22.0,22,0.03125,0.787478068013027
8,15.0,15,0.023438,0.7764984499950324
9,11.0,11,0.015625,0.7685507594819599
10,25.0,25,0.046875,0.7508096780182419
11,23.0,23,0.039062,0.7348750065924577
12,11.0,11,0.015625,0.7273826649466187
13,9.0,9,0.015625,0.7213135728428823
14,10.0,10,0.015625,0.7146338911866557
15,29.0,29,0.046875,0.6956363047412232
16,15.0,15,0.023438,0.6860240324417806
17,23.0,23,0.039062,0.6715624256835497
18,13.0,13,0.015625,0.6635344093169585
19,11.0,11,0.015625,0.6568225139173121
20,9.0,9,0.015625,0.6513856140405265
21,11.0,11,0.015625,0.6448066230744194
22,11.0,11,0.023438,0.6382996044354209
23,11.0,11,0.015625,0.6318637707663365
