episode,cumulative_reward,episode_length,time,epsilon
0,-121.191574,76,0.125,0.837793775575475
1,-229.07863,63,0.125,0.7896938241895138
2,-45.315304,144,0.375,0.6904918196807597
3,-429.38416,106,0.375,0.6260741295118755
4,-471.1301,99,0.25,0.5717749420863946
5,-78.373146,101,0.25,0.5216496058840007
6,-427.42487,132,0.5,0.46332588494917937
7,-341.1062,128,0.375,0.41366617656048577
8,-66.3389,229,0.625,0.33923408688925566
9,-199.22208,331,1.0,0.2577294162665929
10,-293.6314,220,0.75,0.21670676144371348
11,-62.105247,153,0.5,0.1930560268217722
12,-453.7485,112,0.25,0.17789841928082256
13,-466.83746,194,0.625,0.15534454398410602
14,-301.45255,276,0.875,0.129936802160286
15,-48.172596,1000,3.125,0.07940710610775817
16,-59.88777,1000,3.125,0.06081826976139138
17,-66.41002,1000,3.125,0.05397981903426258
18,-175.05914,550,1.75,0.052296155837166444
19,-5.8327103,668,2.0,0.05117731491458101
20,9.216042,214,0.75,0.0509505032949501
21,-98.79892,441,1.375,0.050611546887544455
22,-61.660973,212,0.625,0.050494719842930136
23,-40.300392,255,0.75,0.05038336656815528
24,-20.815125,327,1.125,0.050276439399916675
25,-51.357353,161,0.5,0.05023533066929068
26,-41.553368,395,1.25,0.05015853757452421
27,-76.130295,158,0.5,0.05013536727344131
28,11.582291,285,0.875,0.05010179811919622
29,-70.50049,469,1.5,0.050063687711282584
30,-59.158264,427,1.25,0.050041553910336704
31,-95.38903,435,1.375,0.050026896377939875
32,-78.03775,542,1.75,0.05001564250093192
33,-72.090904,473,1.5,0.05000974731271911
34,-21.453262,465,1.375,0.05000612262930013
35,-59.614483,448,1.5,0.05000391177653845
36,-73.3666,699,2.125,0.05000194447424304
37,-136.45201,725,2.375,0.050000941756649604
38,-76.44471,480,1.5,0.0500005827433739
39,19.799294,229,0.75,0.05000046347243298
40,-33.99572,562,1.75,0.05000026421070438
41,1.2634811,284,0.875,0.05000019888900543
42,-28.973251,420,1.375,0.050000130679388514
43,-11.317284,318,1.0,0.050000095082687476
44,-37.246216,155,0.375,0.050000081430256665
45,-61.68594,555,1.75,0.05000004674685157
46,264.13354,378,1.125,0.05000003203236851
47,-24.022217,208,0.75,0.05000002601691511
48,-39.8665,385,1.125,0.050000017703226436
49,-44.16085,245,0.75,0.05000001385639567
0,-497.5343,120,0.0,0.8038823712095838
1,-89.383446,138,0.375,0.7067059472908889
2,-98.83714,97,0.25,0.6459974267272867
3,-35.586914,127,0.375,0.5749150024999781
4,-495.34442,133,0.375,0.5095447610129191
5,18.96347,134,0.5,0.4519132822224126
6,-141.53406,405,1.125,0.31806683921836676
7,-497.8299,171,0.625,0.2759325152255876
8,-361.33945,91,0.25,0.25628038786897955
9,8.689339,189,0.5,0.2207561216736973
10,-110.599014,1000,3.125,0.11281766661792256
11,-105.86348,1000,3.0,0.07310932809109533
12,-37.491238,1000,3.0,0.05850144670399966
13,-89.990776,1000,3.0,0.0531275074626162
14,-90.74451,1000,3.0,0.05115054569760676
15,-58.874836,1000,3.125,0.050423262108277786
