episode,cumulative_reward,episode_length,time,epsilon
0,-236.26053,66,0.125,0.845711234647876
1,-122.737816,107,0.375,0.7649669726179298
2,-309.5844,122,0.625,0.682851849346023
3,-319.31146,111,0.375,0.6163636423111535
4,-26.931503,99,0.375,0.5629797391129845
5,-268.3501,115,0.625,0.5072527719554734
6,-170.0929,70,0.25,0.4763396587061472
7,-67.88698,122,0.5,0.427373853331713
8,-106.492805,125,0.625,0.3830312566816501
9,-55.315,352,1.5,0.28421426282100504
10,-214.04965,303,1.0,0.22299044287667302
11,-422.78418,217,0.75,0.189245191874779
12,-271.9006,206,0.625,0.16332234286105696
13,-140.33629,473,1.5,0.12061455957302938
14,-111.348885,1000,3.125,0.07597764471429358
15,-118.48145,1000,3.25,0.05955664142044459
16,-92.95643,1000,3.125,0.053515691905229014
17,-47.22613,1000,3.125,0.051293350773426616
18,-70.85049,1000,3.25,0.050475797159766835
19,-43.963932,1000,3.25,0.050175035993245985
20,-28.474245,1000,3.125,0.050064392143380224
21,-85.85996,1000,3.25,0.05002368854572255
22,-108.32192,654,2.125,0.05001231713803132
23,-46.942738,1000,3.25,0.050004531221855796
24,-57.798416,1000,3.25,0.05000166694336414
25,-22.429436,1000,3.25,0.05000061323419326
26,-80.095955,1000,3.25,0.05000022559625233
27,-65.62458,1000,3.25,0.050000082992223235
28,-45.0258,1000,3.25,0.05000003053113271
29,259.13068,510,1.625,0.05000001833381021
30,-54.5068,1000,3.25,0.050000006744631856
31,-59.8473,1000,3.25,0.0500000024812114
32,-40.007706,1000,3.25,0.05000000091278666
33,-60.733807,1000,3.125,0.05000000033579545
34,-72.98479,1000,3.25,0.05000000012353224
35,-73.721245,1000,3.25,0.05000000004544498
36,-66.62462,140,0.5,0.05000000003950796
37,-53.69879,121,0.375,0.0500000000350054
38,-20.494118,325,1.125,0.05000000002529236
39,-135.13753,986,3.125,0.05000000000943572
40,-41.57132,275,0.875,0.05000000000716711
41,-124.43242,372,1.25,0.050000000004940676
42,-40.064148,1000,4.5,0.05000000000181758
43,-21.668114,245,1.125,0.05000000000142263
44,-60.3679,1000,4.625,0.050000000000523355
45,-40.36455,260,1.25,0.050000000000403534
46,79.650406,1000,4.75,0.050000000000148453
47,164.89912,707,3.5,0.05000000000007321
48,121.65406,1000,4.875,0.05000000000002693
49,-46.62204,250,1.25,0.05000000000002098
0,-190.95801,123,0.125,0.8016241131766978
1,-208.61832,122,0.5,0.715298857505588
2,-245.75244,115,0.5,0.6430248771603764
3,-235.78537,183,0.75,0.5438522332590616
4,29.786682,152,0.75,0.4742132807873656
5,-254.74901,186,0.75,0.4022130856784061
6,-102.592285,98,0.5,0.36933360801811266
7,-82.53547,200,0.875,0.3114482453757784
8,218.22314,844,3.75,0.16241938078227625
9,-135.0898,1000,4.625,0.09135677897902336
10,-22.562532,1000,4.375,0.06521430873945398
11,-153.88458,1000,4.5,0.055597031396880124
12,-246.68997,998,4.25,0.0520631549688806
13,-80.21166,1000,4.375,0.050758992297001884
14,-96.86959,434,2.0,0.0504917604110465
15,-211.05391,673,2.875,0.05025088423772626
16,-195.014,662,2.875,0.0501294107725325
17,-131.17577,1000,4.25,0.050047607562680826
18,-197.12807,527,2.375,0.050028106240357584
19,-142.88,515,2.25,0.05001679349532614
20,-105.77841,163,0.625,0.05001426760565177
21,-101.08066,693,3.0,0.05000713485286025
22,-155.53174,1000,4.375,0.050002624765683075
23,-159.14932,438,2.125,0.05000169382896925
24,-137.99736,392,1.75,0.05000114452720287
25,-172.10364,808,3.875,0.05000051017148151
26,-173.71541,659,3.125,0.05000026394662573
27,-122.61028,1000,3.375,0.050000097100537176
28,-166.26227,426,1.375,0.05000006341794766
29,-274.3064,989,3.25,0.050000023588207564
30,-77.65402,139,0.375,0.05000002052711936
31,-129.30855,507,1.75,0.050000012363479285
32,-124.06594,1000,3.25,0.050000004548269854
33,-97.1718,275,0.875,0.05000000345473899
34,-96.49253,1000,3.25,0.05000000127092745
35,-68.130554,178,0.625,0.0500000010636931
36,-157.8432,737,2.375,0.05000000050902757
37,-108.68143,1000,3.25,0.05000000018726078
38,-108.61748,1000,3.25,0.0500000000688894
39,-113.23101,1000,3.25,0.050000000025342994
40,-128.62775,1000,3.25,0.05000000000932317
