episode,cumulative_reward,episode_length,time,epsilon
0,-93.651436,161,0.328125,0.7735982604410785
1,-5.769623,125,0.25,0.6885732235548532
2,-415.9633,104,0.203125,0.62549834332344
3,-289.40146,97,0.203125,0.5722969780029362
4,-364.7521,82,0.15625,0.5311775599459487
5,-405.90414,109,0.21875,0.4814865542211128
6,-304.39807,168,0.34375,0.41475881322568764
7,-335.07855,172,0.34375,0.35711932396568774
8,-197.23117,242,0.484375,0.2911059225248048
9,-351.4522,203,0.421875,0.24680951843584703
10,-215.17972,124,0.265625,0.22385756108006938
11,-305.19308,94,0.1875,0.20825954093640842
12,-57.903023,244,0.515625,0.17399439332779326
13,-210.10657,203,0.40625,0.15121392533224648
14,-125.24906,1000,2.046875,0.08723452228999493
15,181.36844,584,1.203125,0.07076432457540519
16,-60.763363,1000,2.0625,0.05763876812110251
17,-148.49265,799,1.640625,0.05343575380348571
18,-125.17527,571,1.171875,0.05194106414198222
19,94.67167,811,1.6875,0.05086263497418143
20,168.51581,613,1.25,0.05046730942962974
21,-79.80591,403,0.828125,0.05031230854594955
22,-38.328808,172,0.359375,0.05026295729129206
23,-40.20065,340,0.703125,0.05018716519609573
24,179.83713,529,1.109375,0.05011027658603889
25,186.82309,515,1.0625,0.05006589032573071
26,-63.40851,273,0.5625,0.050050148651688164
27,-74.67924,257,0.53125,0.050038783373178825
28,-122.510315,62,0.125,0.050036451828742806
29,185.49953,647,1.34375,0.050019086697538705
30,-78.53451,524,1.078125,0.05001130213480268
31,-108.90575,288,0.59375,0.05000847390658536
32,-81.769745,428,0.875,0.050005523389040275
33,-99.89867,317,0.640625,0.05000402285411056
34,-70.22519,141,0.296875,0.05000349380579754
35,143.45737,507,1.046875,0.050002104318429975
36,-164.49333,105,0.203125,0.05000189456948583
37,33.36342,959,2.0,0.05000072614295812
38,-62.657623,149,0.296875,0.05000062562234572
39,-118.66407,141,0.28125,0.05000054334632042
40,-214.19579,634,1.328125,0.050000288226580154
41,-75.92336,162,0.328125,0.050000245119760006
42,-137.20508,457,0.9375,0.050000155205013
43,-138.84677,344,0.71875,0.050000110029323495
44,-94.512825,166,0.34375,0.050000093199924114
45,-124.188576,251,0.515625,0.05000007251162599
46,-70.70854,140,0.28125,0.050000063038579214
47,-63.10404,1000,2.078125,0.0500000231905973
48,-52.624943,1000,2.09375,0.050000008531343974
49,-69.5189,1000,2.078125,0.050000003138506055
0,-59.14177,81,0.015625,0.8338646377279169
1,-75.53527,106,0.125,0.7550271759275934
2,-124.229836,94,0.1875,0.6917740851581768
3,-17.12062,129,0.25,0.6141027126158716
4,-35.727013,117,0.234375,0.5518174205663944
5,-179.31653,129,0.265625,0.4910844481350993
