episode,cumulative_reward,episode_length,time,epsilon
0,-91.48409,72,0.0,0.8409512614395249
1,-265.46692,66,0.25,0.7904338879839287
2,-313.25446,87,0.25,0.7287387859454705
3,-465.2964,78,0.125,0.6778092319149103
4,-186.5726,98,0.25,0.6192025518822444
5,-236.63228,100,0.25,0.5650357673846094
6,-196.445,141,0.25,0.4973030591155395
7,-86.6299,84,0.25,0.46126441349779235
8,-150.49492,192,0.375,0.38941934522593136
9,-136.22687,343,0.875,0.290864937115067
10,-122.425476,263,0.625,0.2351629687535699
11,-119.89642,180,0.375,0.20466111205633308
12,-347.02634,268,0.625,0.16830148804591116
13,-229.0379,247,0.5,0.1424101064179769
14,-421.48172,222,0.625,0.1240126740499586
15,-52.66844,264,0.5,0.10683977526960473
16,83.316444,1000,2.25,0.07091018476249256
17,-47.3443,1000,2.25,0.05769242708521737
18,-155.97919,787,1.625,0.0535016572256801
19,-103.6758,1000,2.0,0.05128818770335714
0,-117.71099,78,0.0,0.8362197625620084
1,-109.848434,136,0.25,0.7362461272692793
2,-77.451584,135,0.25,0.6495841607294613
3,-9.397362,146,0.25,0.5681352712018629
4,-49.99756,161,0.25,0.4910844481350993
5,43.863922,149,0.375,0.43002473757545295
6,40.13305,1000,2.0,0.18980328809058167
7,-59.763287,1000,2.0,0.10143075549669334
8,-64.38101,239,0.375,0.09049734228976726
9,-80.26191,269,0.625,0.08094577098240224
10,-70.859634,1000,1.875,0.06138431293562557
11,-71.29282,729,1.5,0.0554916916964438
12,-70.97165,1000,2.0,0.052020280472373594
13,-63.246555,1000,2.25,0.050743219651186375
14,78.45281,868,2.0,0.05031199639350584
15,-107.32083,54,0.125,0.0502955954003202
16,249.72305,371,0.75,0.0502039738151436
17,-52.072807,225,0.5,0.050162876399594394
18,244.31546,252,0.625,0.050126594824540356
19,-13.263618,219,0.5,0.05010169637195912
0,-76.24716,63,0.0,0.8481019526357633
1,-66.38926,144,0.125,0.7410667024894354
2,-419.42084,79,0.25,0.6885732235548532
3,-312.40265,129,0.25,0.6112892385992355
4,-105.73332,107,0.25,0.5543327908545942
