episode,score,epsilon
129,-128.6035278084903,0.01
130,-199.4211281980399,0.01
131,-255.93642069772358,0.01
132,-213.86462007668993,0.01
133,-209.05028960212468,0.01
134,-123.43967227280369,0.01
135,-184.6279811763739,0.01
136,-187.28645674205973,0.01
137,-131.77007498600864,0.01
138,-244.53508944329988,0.01
139,-108.06798425593071,0.01
140,-138.11865823477183,0.01
141,-179.05724001469653,0.01
142,-161.31798693003174,0.01
143,-132.4544164720602,0.01
144,-101.97109452414166,0.01
145,-171.86298563956314,0.01
146,-198.4652644324633,0.01
147,-112.77702158844868,0.01
148,-199.41478131199517,0.01
149,-113.98269028738807,0.01
150,-219.16859690815107,0.01
151,-26.71113657295399,0.01
152,-97.74176921838414,0.01
153,-155.14299324340942,0.01
154,-130.24050818526774,0.01
155,-209.76416715168216,0.01
156,-131.44951127968858,0.01
157,-121.64751790142736,0.01
158,-149.77717267324363,0.01
159,-118.95934618045456,0.01
160,-130.10249928167036,0.01
161,-67.44866057368827,0.01
162,-103.9893729085192,0.01
163,-171.07587857201054,0.01
164,-111.5848617964362,0.01
165,-118.87232646060517,0.01
166,-178.81682020717034,0.01
167,-122.17687639688627,0.01
168,-26.83408017223492,0.01
169,-505.21509686601695,0.01
170,-107.40861111659498,0.01
171,-695.8527377706087,0.01
172,-175.4474006606003,0.01
173,-251.4735889465482,0.01
174,-119.39475397443991,0.01
175,-152.09583701086814,0.01
176,-71.38570687090487,0.01
177,-131.90131322762448,0.01
178,-178.88873957826303,0.01
179,-145.08681793290864,0.01
180,-150.30110772613205,0.01
181,-93.62348598303511,0.01
182,-262.9910944462297,0.01
183,-178.9726954305487,0.01
184,-150.51321746604336,0.01
185,-112.27387223976525,0.01
186,-151.09183933893323,0.01
187,-281.82447536311804,0.01
188,-99.6881430719848,0.01
189,-152.65598528169068,0.01
190,-94.50904859835366,0.01
191,-66.83213711306024,0.01
192,-126.95250290470531,0.01
193,-139.387644151521,0.01
194,-109.54881941513493,0.01
195,-123.44063155365299,0.01
196,-127.61443982663349,0.01
197,-127.92719109669233,0.01
198,-615.0904089467762,0.01
199,-134.1520459776499,0.01
200,-148.40657099051901,0.01
201,-97.16171698052992,0.01
202,-153.25519448713106,0.01
203,-141.0923095582093,0.01
204,-52.844653342891874,0.01
205,-105.49485174748602,0.01
206,-165.79335028403085,0.01
207,-121.79896173360942,0.01
208,-119.60157127978843,0.01
209,-110.8245852064168,0.01
210,-173.81385729018768,0.01
211,-120.91740995843395,0.01
212,-106.03337248786414,0.01
213,-127.83949146807181,0.01
214,-97.63044447304219,0.01
215,-126.33870265423529,0.01
216,-145.0320593258007,0.01
217,-186.85914463381664,0.01
218,-189.43381001130965,0.01
219,-118.42481875511523,0.01
220,-184.88518837444855,0.01
221,-92.64484945082283,0.01
222,-116.04982619354674,0.01
223,-157.70883900565275,0.01
224,-110.56469941703807,0.01
225,-155.64522727377377,0.01
226,-130.720561920062,0.01
227,-125.14913696140445,0.01
228,-108.20788424392266,0.01
229,-176.49570749401607,0.01
230,-225.7541639511148,0.01
231,-186.72886014701305,0.01
232,-199.32151936775685,0.01
233,-97.36935124280726,0.01
234,-98.92852711772407,0.01
235,-563.2673366063045,0.01
236,-139.39029021735033,0.01
237,-110.83418075220746,0.01
238,-132.50787848270988,0.01
239,-648.3237437049695,0.01
240,-206.37141205419087,0.01
241,-287.8238014587126,0.01
242,-368.2134034798693,0.01
243,-93.42702984722901,0.01
244,-314.44755839112133,0.01
245,-351.5071116766752,0.01
246,-133.34538303047594,0.01
247,-155.84298951901962,0.01
248,-161.30549269714328,0.01
249,-126.67582046141692,0.01
250,-101.300753710685,0.01
251,-132.84951620660945,0.01
252,-242.5910075198277,0.01
253,-374.4878930822268,0.01
254,-123.37093336505578,0.01
255,-157.67198378299602,0.01
256,-554.1584097276539,0.01
257,-165.34736969125157,0.01
258,-568.9046154343018,0.01
259,-136.76647152907887,0.01
260,-125.29817507804593,0.01
261,-144.4182186522651,0.01
262,-69.79576364149204,0.01
263,-200.30465645557325,0.01
264,-569.434806776681,0.01
265,-175.35992896820107,0.01
266,-170.73436784432994,0.01
267,-28.480120649589736,0.01
268,-112.48008154284572,0.01
269,-348.2885769468475,0.01
270,-795.5647644462322,0.01
271,-507.35717053403215,0.01
272,-67.90853926157791,0.01
273,-162.9426624744342,0.01
274,-120.46199997248017,0.01
275,-89.92898554931021,0.01
276,-1058.7990253310768,0.01
277,-139.11823033928238,0.01
278,-124.79751974693089,0.01
279,-92.15235897590387,0.01
280,-661.622261904108,0.01
281,-104.64832964118868,0.01
282,-175.1365318947104,0.01
283,-121.86606560938728,0.01
284,-462.63104839782824,0.01
285,-136.6359629022638,0.01
286,-80.55867830859452,0.01
287,-103.36004054115217,0.01
288,-507.23757974626534,0.01
289,-588.5037807911017,0.01
290,-130.1119919726404,0.01
291,-107.11319603880177,0.01
292,-192.3921202163377,0.01
293,-443.1514160006141,0.01
294,-154.97524567294028,0.01
295,-96.17143421079398,0.01
296,-198.62979520718395,0.01
297,-190.37699784837824,0.01
298,-229.9337919016392,0.01
299,-165.36571684139898,0.01
300,-205.16622111775342,0.01
301,-234.90587964779317,0.01
302,-186.94053042167104,0.01
303,-101.80024553273311,0.01
304,-238.3215456972648,0.01
305,-226.77787030195674,0.01
306,-180.84228475595066,0.01
307,-185.17781034944397,0.01
308,-370.63073236217014,0.01
