episode,cumulative_reward,episode_length,time,epsilon
0,-417.61557,89,0.078125,0.8276187375382842
1,-233.35817,94,0.289062,0.7578529323765273
2,-361.66467,87,0.179688,0.6988725701863252
3,-434.22702,111,0.226562,0.6307012061769147
4,-286.5576,91,0.1875,0.5801904859800894
5,-73.514366,111,0.226562,0.524488010217096
6,-70.50337,67,0.140625,0.4937389102468636
7,-88.98181,75,0.15625,0.4616758836120581
8,-78.50885,103,0.210938,0.421383918938275
9,-221.19052,1000,2.109375,0.1866245085590728
10,-242.52647,274,0.578125,0.15387999612421802
11,-150.79144,1000,2.109375,0.08821531492306892
12,-68.95087,1000,2.101562,0.06405862869808927
13,-94.996254,1000,2.109375,0.055171880469089885
14,-161.3578,1000,2.109375,0.05190262849677429
15,-153.1037,1000,2.09375,0.05069993790815019
16,8.525726,195,0.40625,0.050575933169313206
17,-168.20418,1000,2.101562,0.05021187397247904
18,-171.47685,1000,2.117188,0.050077944078594366
19,30.185001,1000,2.140625,0.05002867402407592
0,-106.7019,103,0.015625,0.8168079274592891
1,-92.51144,68,0.085938,0.7663983374508769
2,-88.52026,79,0.15625,0.7119806656106942
3,-490.9134,99,0.203125,0.6495841607294613
4,-129.07732,114,0.234375,0.5849837376319384
5,-189.74698,165,0.34375,0.503609342927542
6,-32.446846,117,0.25,0.4535241549489255
7,-3.6779938,336,0.703125,0.3383676848814011
8,-85.02868,1000,2.101562,0.15608454276607242
9,-74.61307,1000,2.109375,0.0890263223097107
10,-97.186195,1000,2.101562,0.06435698164227296
11,-100.64997,1000,2.117188,0.055281638383468036
12,-42.439316,1000,2.117188,0.05194300617697986
13,-80.97913,1000,2.117188,0.05071479202658001
14,-85.34826,1000,2.109375,0.05026295729129206
15,-144.5025,989,2.09375,0.050097806557849296
16,-23.555573,1000,2.125,0.0500359810218445
17,-144.03214,1000,2.109375,0.050013236678208936
18,-103.84067,1000,2.117188,0.05000486950178247
19,-63.65212,248,0.523438,0.05000379996413476
0,-182.64545,65,0.007812,0.846507343870793
1,-81.19951,70,0.023438,0.7926585249348292
2,-74.34102,96,0.195312,0.7246785461299563
3,-192.03918,158,0.320312,0.6260741295118755
4,-137.42322,112,0.226562,0.5650357673846094
5,-318.39948,142,0.289062,0.4968559796334217
6,-52.11269,326,0.671875,0.3725429641342849
7,-276.38562,435,0.90625,0.2587706642987404
8,-45.13226,1000,2.101562,0.1268024353152114
9,-75.528206,1000,2.09375,0.07825403698436582
10,-87.01655,1000,2.09375,0.06039407933664576
11,-84.76109,1000,2.101562,0.05382376809785688
12,-13.0128975,1000,2.09375,0.051406685671008784
13,-53.911144,1000,2.101562,0.05051749073855459
14,-70.74573,1000,2.101562,0.050190374203710864
15,-156.92953,786,1.664062,0.0500867466350015
16,-123.104126,552,1.164062,0.05004994845773624
17,-90.46324,124,0.257812,0.05004412346064738
18,-51.913815,1000,2.117188,0.05001623211404551
19,-48.099953,420,0.882812,0.05001066525891248
