episode,cumulative_reward,episode_length,time,epsilon
0,-77.2187,69,0.0625,0.8433276780664717
1,-90.22772,80,0.28125,0.7823337476641146
2,-83.71043,80,0.21875,0.7260292534793299
3,-336.4342,83,0.28125,0.6721842989940657
4,-490.35724,99,0.28125,0.6135388918606184
5,-182.87344,79,0.25,0.5707324350567538
6,-271.86157,201,0.625,0.47591353214623155
7,-127.572845,105,0.3125,0.43346039749258597
8,-111.131615,208,0.65625,0.36144923314383554
9,-95.546745,206,0.625,0.30346768751540426
10,-275.66202,104,0.3125,0.2784314920677352
11,-32.80516,149,0.46875,0.24680951843584703
12,-417.39993,82,0.25,0.23131509053947796
13,-288.91733,82,0.25,0.21704050860251062
14,-140.86514,238,0.75,0.18166177840217096
15,137.63084,667,2.125,0.11757488223862668
16,-114.37137,1000,3.125,0.07485940991517201
17,-54.987576,1000,3.1875,0.059145265827445295
18,-130.7916,1000,3.15625,0.05336435528196486
19,-73.13929,1000,3.1875,0.051237677141031425
0,-153.46844,137,0.03125,0.791174692212293
1,-91.79912,77,0.25,0.7362461272692793
2,-376.4513,253,0.75,0.5828480768505205
3,-209.32393,135,0.40625,0.5155578432566684
4,-184.08676,103,0.3125,0.4699922881177204
5,-113.86337,222,0.6875,0.3863782764555512
6,-81.042786,333,1.0,0.2911059225248048
7,-215.9708,737,2.28125,0.16538061389887845
8,-103.58134,1000,3.0625,0.09244615576313736
9,-28.092825,1000,3.0625,0.06561506806201897
10,-87.59552,1000,3.09375,0.05574446251250958
11,-60.49116,1000,3.125,0.05211326965893232
12,-79.36886,1000,3.0625,0.05077742846117259
13,-75.4231,1000,3.09375,0.05028599994784695
14,14.761025,1000,3.09375,0.050105213500988996
15,-68.41073,1000,3.125,0.05003870588394753
16,214.08382,713,2.28125,0.05001897252022793
17,-49.851257,1000,3.15625,0.05000697960013907
18,-124.05266,583,1.84375,0.05000389616068482
19,-86.78703,1000,3.1875,0.050001433317415446
0,-115.31883,82,0.03125,0.8330811648918964
1,-120.303185,64,0.0625,0.7845340477069465
2,-3.9676666,109,0.34375,0.7086790232669189
3,-153.02179,96,0.28125,0.6483861907772779
4,-251.41042,87,0.28125,0.5985269154287004
5,-74.42407,72,0.21875,0.5604212419904261
6,198.29898,831,2.65625,0.27234636072230745
7,-51.80288,1000,3.15625,0.13179665492902637
8,-80.95398,1000,3.125,0.08009130770498353
9,-116.68123,1000,3.125,0.061069973462627256
10,-102.734406,1000,3.15625,0.05407241565121401
11,-128.89978,1000,3.1875,0.05149815799398645
12,-121.442505,1000,3.09375,0.05055114152561427
13,-84.91218,1000,3.125,0.050202753636449354
14,-67.96417,1000,3.15625,0.050074588894472465
15,-78.522156,1000,3.125,0.05002743972081613
16,-82.549866,1000,3.21875,0.05001009450915974
17,-70.95847,1000,3.1875,0.050003713562388585
18,-49.53947,1000,3.25,0.05000136614325627
19,-101.784805,1000,3.25,0.05000050257601768
