episode,cumulative_reward,episode_length,time,epsilon
0,-126.201645,111,0.5,0.8106979365896764
1,-342.61975,95,1.0,0.7417581148404826
2,-380.97455,109,0.0,0.6703205431286983
3,-87.2122,88,0.25,0.6180652844250263
4,-325.56195,179,0.5,0.5249627355504194
5,-113.909485,95,0.0,0.4819182565905434
6,23.437096,106,0.25,0.4384779259315162
7,107.36562,1000,2.0,0.19291304229912715
8,-182.62405,207,0.5,0.16619111162869526
9,-94.27026,115,0.25,0.1535688231287183
10,-84.4294,92,0.25,0.14446565690802862
11,-181.92993,140,0.25,0.13212449679535276
12,-290.48364,209,0.5,0.11663542542936187
13,-236.5061,88,0.0,0.11102211561202421
14,-92.80226,116,0.25,0.10433868202570143
15,-40.150143,1000,2.25,0.06999008397760774
16,-112.15571,1000,2.0,0.057353940922652544
17,-32.5671,1000,2.0,0.05270536367703322
18,-140.67937,640,1.25,0.05142651777118086
19,-228.23058,969,2.0,0.05054130972977284
0,-183.10616,76,0.0,0.837793775575475
1,-78.07881,89,0.0,0.7707096484747286
2,-348.14313,116,0.25,0.6917740851581768
3,-77.96384,139,0.25,0.6084897968427982
4,-112.588905,377,0.75,0.43307712876139803
5,-132.81436,581,1.25,0.2642698816097998
6,-4.723091,154,0.25,0.23368757444951876
7,-5.829622,1000,2.0,0.11757488223862668
8,-40.20062,1000,2.0,0.07485940991517201
9,-15.765368,1000,2.0,0.059145265827445295
10,-44.93815,1000,2.25,0.05336435528196486
11,-132.23654,692,1.25,0.051684108509786365
12,-100.952286,1000,2.0,0.05061954889745228
13,-90.77118,1000,2.0,0.05022791930217313
14,-34.465984,1000,2.25,0.050083846825515636
15,-50.239273,1000,2.0,0.050030845523314695
16,-155.73434,507,1.0,0.05001857825161287
17,-82.57338,375,0.75,0.05001276863315221
18,-84.561356,197,0.5,0.0500104854819448
19,114.61088,576,1.0,0.05000589433445952
0,-147.916,111,0.0,0.8106979365896764
1,-322.2998,100,0.25,0.7383079568490849
2,-211.94118,105,0.25,0.6697005326424802
3,-330.83997,106,0.0,0.6073739334844256
4,-177.95468,95,0.25,0.5568607694888329
5,-163.16797,93,0.25,0.5118482387133249
6,-112.47972,201,0.5,0.42775141593488275
7,-30.662598,241,0.5,0.34685278706876865
8,-102.71197,1000,2.0,0.15920603741704376
9,3.0708694,193,0.25,0.14003840931751355
10,-330.94968,456,1.0,0.10706758969578302
11,-132.90445,1000,2.0,0.07099399300628582
12,-78.25972,1000,2.0,0.0577232584151096
13,-151.33928,1000,2.0,0.052841227989773164
14,-42.46756,1000,2.0,0.05104522936511841
15,-100.33922,1000,2.25,0.05038451839473575
16,-81.38738,1000,2.0,0.05014145641217553
17,-38.527798,1000,2.0,0.050052038905861254
18,-74.22403,1000,2.0,0.05001914404360741
19,-70.8035,1000,2.0,0.05000704270006406
