episode,cumulative_reward,episode_length,time,epsilon
0,25.0,25,0.125,0.8790134252240828
1,12.0,12,0.0,0.8691247150466955
2,15.0,15,0.0,0.8569295368164561
3,9.0,9,0.0,0.8496997538096083
4,19.0,19,0.0,0.8346488944286404
5,19.0,19,0.0,0.8198813018200163
6,17.0,17,0.0,0.8069039398028518
7,14.0,14,0.125,0.7963811162824771
8,20.0,20,0.0,0.7816017799612992
9,9.0,9,0.125,0.7750469051237618
10,30.0,30,0.125,0.7536185306905236
11,44.0,44,0.125,0.723330537495667
12,31.0,31,0.125,0.7027775087082002
13,14.0,14,0.0,0.6937022982871852
14,15.0,15,0.125,0.6841188195926383
15,38.0,38,0.125,0.6604743936844848
16,25.0,25,0.125,0.6454017271999646
17,13.0,13,0.125,0.6377115988827622
18,12.0,12,0.0,0.6307012061769147
19,22.0,22,0.125,0.6180652844250263
20,10.0,10,0.0,0.6124129404036711
21,13.0,13,0.125,0.6051488908025743
22,20.0,20,0.0,0.5941562062524001
23,10.0,10,0.125,0.5887417615337667
24,18.0,18,0.0,0.5791311646825338
25,25.0,25,0.125,0.5660668696779713
26,28.0,28,0.125,0.5518174205663944
27,12.0,12,0.0,0.545831598282993
28,12.0,12,0.125,0.5399171766065456
29,25.0,25,0.125,0.5278210784172991
30,10.0,10,0.0,0.5230666792488952
31,8.0,8,0.0,0.519297243660891
32,14.0,14,0.125,0.5127728595033345
33,15.0,15,0.0,0.5058830692209856
34,12.0,12,0.0,0.5004451650699333
35,18.0,18,0.0,0.4924096883458907
36,13.0,13,0.0,0.48669558454549855
37,13.0,13,0.0,0.4810552833382723
38,11.0,11,0.0,0.4763396587061472
39,12.0,12,0.125,0.4712541568387537
40,10.0,10,0.0,0.4670626079443541
41,14.0,14,0.0,0.46126441349779235
42,10.0,10,0.125,0.45717226421043844
43,10.0,10,0.0,0.4531208324888169
44,13.0,13,0.125,0.44791417824588203
45,11.0,11,0.0,0.44356110806454385
46,12.0,12,0.0,0.4388665981611731
47,13.0,13,0.125,0.43384404968420337
48,18.0,18,0.125,0.4269966681024281
49,9.0,9,0.0,0.4236189207523455
0,13.0,13,0.0,0.8890215147672444
1,25.0,25,0.0,0.8683059997575197
2,21.0,21,0.0,0.8513007537835348
3,41.0,41,0.0,0.8191118053305656
4,16.0,16,0.0,0.8069039398028518
5,16.0,16,0.0,0.7948898458174672
6,17.0,17,0.125,0.7823337476641146
7,20.0,20,0.0,0.7678325678781293
8,22.0,22,0.125,0.7522126999285148
9,10.0,10,0.0,0.7452255668207806
10,15.0,15,0.125,0.7348750065924577
11,17.0,17,0.0,0.723330537495667
12,13.0,13,0.0,0.7146338911866557
13,25.0,25,0.0,0.6982240219443056
14,15.0,15,0.125,0.6885732235548532
15,12.0,12,0.0,0.6809561387856082
16,11.0,11,0.0,0.6740536545223239
17,10.0,10,0.125,0.6678442169103875
18,10.0,10,0.0,0.6616965642350141
19,24.0,24,0.125,0.6471906143706554
20,16.0,16,0.0,0.6377115988827622
21,25.0,25,0.125,0.6232009478043776
22,12.0,12,0.0,0.6163636423111535
23,15.0,15,0.125,0.6079315861977955
24,9.0,9,0.0,0.6029327305148191
25,15.0,15,0.0,0.5947006346274709
26,12.0,12,0.125,0.5882032890533458
27,11.0,11,0.0,0.5823154951089226
28,9.0,9,0.0,0.5775461498994218
29,14.0,14,0.125,0.5702119629011474
30,12.0,12,0.0,0.5640067252350038
31,9.0,9,0.0,0.5594014196687077
32,10.0,10,0.125,0.5543327908545942
33,14.0,14,0.0,0.5473213265529508
34,10.0,10,0.0,0.5423728966736647
35,12.0,12,0.125,0.5364997313831382
36,16.0,16,0.0,0.528777676853704
37,16.0,16,0.125,0.521178192024331
38,13.0,13,0.0,0.5150925181147596
39,9.0,9,0.0,0.5109254653168858
40,12.0,12,0.125,0.5054274140173376
41,11.0,11,0.0,0.5004451650699333
42,15.0,15,0.125,0.4937389102468636
43,11.0,11,0.0,0.4888845302722412
44,12.0,12,0.0,0.48364938957469716
