episode,cumulative_reward,episode_length,time,epsilon
0,15.0,15,0.0,0.8873451486626033
1,9.0,9,0.0,0.879842853294223
2,18.0,18,0.0,0.8650393134866119
3,33.0,33,0.0,0.8385819633792699
4,12.0,12,0.0,0.8291755312881794
5,13.0,13,0.0,0.8191118053305656
6,22.0,22,0.0,0.8023761132272331
7,17.0,17,0.125,0.7896938241895138
8,12.0,12,0.0,0.7808705438603247
9,11.0,11,0.125,0.772875023859198
10,13.0,13,0.0,0.7635384676538263
11,18.0,18,0.125,0.7508096780182419
12,20.0,20,0.125,0.7369327166340152
13,21.0,21,0.125,0.7226575435112463
14,13.0,13,0.0,0.71396958950167
15,13.0,13,0.125,0.7053938479330314
16,20.0,20,0.125,0.6924161802373666
17,11.0,11,0.0,0.6853883263153774
18,11.0,11,0.125,0.6784373551561022
19,17.0,17,0.0,0.6678442169103875
20,40.0,40,0.25,0.6436181986488375
21,17.0,17,0.125,0.6336119830859559
22,11.0,11,0.0,0.6272274306876413
23,9.0,9,0.125,0.6220556915467784
24,13.0,13,0.0,0.6146670974738843
25,21.0,21,0.125,0.6029327305148191
26,14.0,14,0.125,0.5952456077032219
27,12.0,12,0.0,0.5887417615337667
28,13.0,13,0.125,0.5817834456828641
29,12.0,12,0.0,0.575440180047487
30,14.0,14,0.125,0.5681352712018629
31,10.0,10,0.0,0.5629797391129845
32,19.0,19,0.125,0.5533251332663591
33,23.0,23,0.125,0.5418807698813978
34,8.0,8,0.0,0.5379614220169706
35,14.0,14,0.125,0.5311775599459487
36,12.0,12,0.125,0.5254379358465178
37,13.0,13,0.0,0.519297243660891
38,15.0,15,0.125,0.5123103179531514
39,17.0,17,0.0,0.5045174694371979
40,13.0,13,0.0,0.4986469831710265
41,9.0,9,0.0,0.49462727613712565
42,18.0,18,0.125,0.48669558454549855
43,11.0,11,0.125,0.4819182565905434
44,10.0,10,0.0,0.47762059813069796
45,18.0,18,0.125,0.4699922881177204
46,17.0,17,0.125,0.46291276565830225
47,12.0,12,0.0,0.4579874236265556
48,11.0,11,0.125,0.4535241549489255
49,12.0,12,0.0,0.4487108029615479
0,45.0,45,0.125,0.862597859558135
1,19.0,19,0.0,0.84730424960112
2,14.0,14,0.0,0.8362197625620084
3,53.0,53,0.0,0.795635108232387
4,21.0,21,0.125,0.780140038629955
5,18.0,18,0.0,0.7671150941069261
6,15.0,15,0.125,0.7564386412743068
7,21.0,21,0.125,0.7417581148404826
8,22.0,22,0.0,0.7267056208601357
9,11.0,11,0.0,0.7193026500167848
10,10.0,10,0.0,0.7126429773769953
11,9.0,9,0.125,0.7067059472908889
12,26.0,26,0.125,0.6898516480002669
13,11.0,11,0.0,0.682851849346023
14,26.0,26,0.125,0.66660976334162
15,15.0,15,0.125,0.6574296399436487
16,24.0,24,0.125,0.6430248771603764
17,30.0,30,0.125,0.62549834332344
18,8.0,8,0.0,0.6209127235127083
19,14.0,14,0.125,0.6129756346443039
20,10.0,10,0.0,0.6073739334844256
21,16.0,16,0.125,0.5985269154287004
22,15.0,15,0.0,0.5903604135824522
23,15.0,15,0.0,0.5823154951089226
24,25.0,25,0.125,0.5691725787060016
25,18.0,18,0.125,0.5599110758740077
26,9.0,9,0.0,0.5553424657746653
27,10.0,10,0.0,0.5503142242266019
28,14.0,14,0.125,0.5433586278696311
29,26.0,26,0.125,0.5306966228946065
30,14.0,14,0.0,0.5240137593718226
31,14.0,14,0.125,0.5174238040633613
32,9.0,9,0.0,0.5132358638264157
33,11.0,11,0.125,0.5081681926149035
34,25.0,25,0.125,0.4968559796334217
35,20.0,20,0.0,0.4880076383958704
36,14.0,14,0.125,0.4819182565905434
37,31.0,31,0.125,0.4687341993301151
38,10.0,10,0.0,0.4645677244318715
39,21.0,21,0.125,0.45595257786209425
40,12.0,12,0.125,0.4511102589489157
41,10.0,10,0.0,0.4471191451874597
42,9.0,9,0.0,0.44356110806454385
43,14.0,14,0.125,0.4380896421798175
44,10.0,10,0.0,0.43422808571990246
45,11.0,11,0.125,0.43002473757545295
46,9.0,9,0.0,0.42661985986984263
47,12.0,12,0.125,0.42212743003941566
48,18.0,18,0.0,0.4154890608563538
49,12.0,12,0.125,0.41112940239263585
0,13.0,13,0.0,0.8890215147672444
1,16.0,16,0.0,0.8757039947966141
2,11.0,11,0.0,0.8666710232794748
3,18.0,18,0.0,0.8521024553212788
4,29.0,29,0.0,0.8291755312881794
5,16.0,16,0.0,0.8168079274592891
6,17.0,17,0.0,0.8038823712095838
7,25.0,25,0.125,0.7852689491441301
8,22.0,22,0.125,0.76926966963661
9,42.0,42,0.125,0.7396859502968998
10,13.0,13,0.0,0.7307780596844603
11,28.0,28,0.125,0.7119806656106942
12,14.0,14,0.125,0.7027775087082002
13,13.0,13,0.0,0.6943463225439321
14,16.0,16,0.125,0.6841188195926383
15,14.0,14,0.0,0.6753030107711654
16,14.0,14,0.125,0.66660976334162
17,18.0,18,0.0,0.655610081725813
18,18.0,18,0.125,0.6448066230744194
19,15.0,15,0.125,0.635951106145589
20,11.0,11,0.0,0.629540964393092
21,9.0,9,0.0,0.6243484968665322
22,14.0,14,0.125,0.6163636423111535
23,18.0,18,0.0,0.6062602996225298
24,12.0,12,0.0,0.5996250670451237
25,21.0,21,0.125,0.5882032890533458
26,12.0,12,0.0,0.5817834456828641
27,12.0,12,0.125,0.575440180047487
28,13.0,13,0.0,0.5686536656270779
29,28.0,28,0.125,0.5543327908545942
30,14.0,14,0.125,0.5473213265529508
31,44.0,44,0.125,0.5259136115805917
